game_turn,player_name,tiles_by_type,buildings,districts,population_alt,outgoing_trade_routes,tourism,diplo_victory_points,balance_favor,lifetime_favor,co2_per_turn,data_source,loaded_at
1,CIVILIZATION_POLAND,0,0,0,0,0,0,0,0,0,0,player_stats_2,2025-08-03 19:13:55.349398
1,CIVILIZATION_NORWAY,0,0,0,0,0,0,0,0,0,0,player_stats_2,2025-08-03 19:13:55.349398
1,CIVILIZATION_MAPUCHE,0,0,0,0,0,0,0,0,0,0,player_stats_2,2025-08-03 19:13:55.349398
1,CIVILIZATION_GERMANY,0,0,0,0,0,0,0,0,0,0,player_stats_2,2025-08-03 19:13:55.349398
1,CIVILIZATION_GAUL,0,0,0,0,0,0,0,0,0,0,player_stats_2,2025-08-03 19:13:55.349398
1,CIVILIZATION_MAYA,0,0,0,0,0,0,0,0,0,0,player_stats_2,2025-08-03 19:13:55.349398
1,CIVILIZATION_VILNIUS,0,0,0,0,0,0,0,0,0,0,player_stats_2,2025-08-03 19:13:55.349398
1,CIVILIZATION_SAMARKAND,0,0,0,0,0,0,0,0,0,0,player_stats_2,2025-08-03 19:13:55.349398
1,CIVILIZATION_PRESLAV,0,0,0,0,0,0,0,0,0,0,player_stats_2,2025-08-03 19:13:55.349398
1,CIVILIZATION_JOHANNESBURG,0,0,0,0,0,0,0,0,0,0,player_stats_2,2025-08-03 19:13:55.349398
1,CIVILIZATION_MEXICO_CITY,0,0,0,0,0,0,0,0,0,0,player_stats_2,2025-08-03 19:13:55.349398
1,CIVILIZATION_LAHORE,0,0,0,0,0,0,0,0,0,0,player_stats_2,2025-08-03 19:13:55.349398
1,CIVILIZATION_PALENQUE,0,0,0,0,0,0,0,0,0,0,player_stats_2,2025-08-03 19:13:55.349398
1,CIVILIZATION_ANTIOCH,0,0,0,0,0,0,0,0,0,0,player_stats_2,2025-08-03 19:13:55.349398
1,CIVILIZATION_FEZ,0,0,0,0,0,0,0,0,0,0,player_stats_2,2025-08-03 19:13:55.349398
1,CIVILIZATION_FREE_CITIES,0,0,0,0,0,0,0,0,0,0,player_stats_2,2025-08-03 19:13:55.349398
2,CIVILIZATION_POLAND,7,10,0,0,0,0,0,0,0,0,player_stats_2,2025-08-03 19:13:55.349398
