game_turn,player_name,num_cities,population,techs,civics,land_units,corps,armies,naval_units,tiles_owned,tiles_improved,balance_gold,balance_faith,yield_science,yield_culture,yield_gold,yield_faith,yield_production,yield_food,data_source,loaded_at
1,CIVILIZATION_POLAND,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,player_stats,2025-08-03 19:13:55.339088
1,CIVILIZATION_NORWAY,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,player_stats,2025-08-03 19:13:55.339088
1,CIVILIZATION_MAPUCHE,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,player_stats,2025-08-03 19:13:55.339088
1,CIVILIZATION_GERMANY,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,player_stats,2025-08-03 19:13:55.339088
1,CIVILIZATION_GAUL,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,player_stats,2025-08-03 19:13:55.339088
1,CIVILIZATION_MAYA,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,player_stats,2025-08-03 19:13:55.339088
1,CIVILIZATION_VILNIUS,0,0,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,player_stats,2025-08-03 19:13:55.339088
1,CIVILIZATION_SAMARKAND,0,0,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,player_stats,2025-08-03 19:13:55.339088
1,CIVILIZATION_PRESLAV,0,0,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,player_stats,2025-08-03 19:13:55.339088
1,CIVILIZATION_JOHANNESBURG,0,0,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,player_stats,2025-08-03 19:13:55.339088
1,CIVILIZATION_MEXICO_CITY,0,0,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,player_stats,2025-08-03 19:13:55.339088
1,CIVILIZATION_LAHORE,0,0,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,player_stats,2025-08-03 19:13:55.339088
1,CIVILIZATION_PALENQUE,0,0,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,player_stats,2025-08-03 19:13:55.339088
1,CIVILIZATION_ANTIOCH,0,0,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,player_stats,2025-08-03 19:13:55.339088
1,CIVILIZATION_FEZ,0,0,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,player_stats,2025-08-03 19:13:55.339088
1,CIVILIZATION_FREE_CITIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,player_stats,2025-08-03 19:13:55.339088
2,CIVILIZATION_POLAND,1,1,0,0,1,0,0,0,7,0,15,0,2,1,5,0,7,3,player_stats,2025-08-03 19:13:55.339088
2,CIVILIZATION_NORWAY,1,1,0,0,1,0,0,0,7,0,16,0,2,1,6,0,6,3,player_stats,2025-08-03 19:13:55.339088
2,CIVILIZATION_MAPUCHE,1,1,0,0,1,0,0,0,7,0,16,0,2,1,6,0,6,3,player_stats,2025-08-03 19:13:55.339088
2,CIVILIZATION_GERMANY,1,1,0,0,1,0,0,0,7,0,16,0,2,1,6,0,6,4,player_stats,2025-08-03 19:13:55.339088
2,CIVILIZATION_GAUL,1,1,0,0,1,0,0,0,7,0,16,0,2,1,6,0,7,3,player_stats,2025-08-03 19:13:55.339088
2,CIVILIZATION_MAYA,1,1,0,0,1,0,0,0,7,0,18,0,2,1,8,0,3,4,player_stats,2025-08-03 19:13:55.339088
2,CIVILIZATION_VILNIUS,1,1,0,0,2,0,0,0,7,0,15,0,2,1,5,0,2,4,player_stats,2025-08-03 19:13:55.339088
