game_id,civilization,game_turn,num_cities,population,techs,civics,yields_science,yields_culture,yields_production,buildings,districts,current_score,science_per_city,population_per_city,buildings_per_city,development_index,science_rank,cities_rank,score_rank,population_rank,final_turn,final_score,final_rank,will_win,game_session
2025-08-01_23:31:49.196788,CIVILIZATION_ROME,39,1,4,3,3,5,5,15,11,0,47,5.0,4.0,11.0,0.15384615384615385,1,3,1,3,39,47,1,1,Previous_Game
2025-08-01_23:31:49.196788,CIVILIZATION_ENGLAND,39,1,3,4,3,3,4,6,11,0,46,3.0,3.0,11.0,0.1794871794871795,4,3,2,4,39,46,2,0,Previous_Game
2025-08-01_23:31:49.196788,CIVILIZATION_NETHERLANDS,39,1,5,3,3,4,4,9,11,0,39,4.0,5.0,11.0,0.15384615384615385,3,3,3,1,39,39,3,0,Previous_Game
2025-08-01_23:31:49.196788,CIVILIZATION_CHINA,39,2,5,4,3,5,5,10,11,0,33,2.5,2.5,5.5,0.1794871794871795,1,1,4,1,39,33,4,0,Previous_Game
2025-08-01_23:31:49.196788,CIVILIZATION_CANADA,39,2,3,3,3,3,5,15,11,1,28,1.5,1.5,5.5,0.15384615384615385,4,1,5,4,39,28,5,0,Previous_Game
2025-08-02_00:02:29.728008,CIVILIZATION_ENGLAND,43,1,3,4,3,3,4,6,11,0,52,3.0,3.0,11.0,0.16279069767441862,6,4,1,5,43,52,1,1,Previous_Game
2025-08-02_00:02:29.728008,CIVILIZATION_ROME,43,1,3,3,4,4,5,13,11,0,48,4.0,3.0,11.0,0.16279069767441862,3,4,2,5,43,48,2,0,Previous_Game
2025-08-02_00:02:29.728008,CIVILIZATION_NETHERLANDS,43,1,5,4,3,4,4,8,12,0,43,4.0,5.0,12.0,0.16279069767441862,3,4,3,3,43,43,3,0,Previous_Game
2025-08-02_00:02:29.728008,CIVILIZATION_CHINA,43,2,6,5,4,6,6,11,11,0,35,3.0,3.0,5.5,0.20930232558139536,1,1,4,1,43,35,4,0,Previous_Game
2025-08-02_00:02:29.728008,CIVILIZATION_CANADA,43,2,4,3,4,4,5,17,11,1,31,2.0,2.0,5.5,0.16279069767441862,3,1,5,4,43,31,5,0,Previous_Game
